# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Jun 22 00:02:21 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: HST/WFC3 wide filters (UVIS+IR) - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F218Wmag  F225Wmag  F275Wmag  F336Wmag  F390Wmag  F438Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag  F105Wmag  F110Wmag  F125Wmag  F140Wmag  F160Wmag
0.00015547 -2.00000 10.07918 0.0936335474 1.1156111956    0.094 -3.048  3.5137  5.463    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.83e-17      0.00 7.473e-01 2.525e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.390 21.989 21.249 21.928 17.969 17.718 16.300 15.214 14.237 13.565 13.201 11.809 11.619 10.871 10.683 10.452 10.290 10.194
0.00015547 -2.00000 10.07918 0.0979434103 1.1536936760    0.098 -2.915  3.5322  5.424    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.5e-17      0.00 7.463e-01 2.536e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 12.057 21.393 20.820 20.987 17.018 16.682 15.529 14.580 13.658 13.021 12.661 11.473 11.304 10.595 10.408 10.181 9.998 9.867
0.00015547 -2.00000 10.07918 0.1035686582 1.2002434731    0.103 -2.750  3.5551  5.375    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-16      0.00 7.449e-01 2.550e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 11.645 20.545 20.109 19.476 15.884 15.490 14.610 13.809 12.987 12.380 12.034 11.054 10.909 10.250 10.068 9.849 9.646 9.483
0.00015547 -2.00000 10.07918 0.1234388798 1.3415665627    0.123 -2.474  3.5829  5.287    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.73e-16      0.00 7.417e-01 2.581e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.956 19.200 18.703 17.434 14.406 14.028 13.394 12.730 12.037 11.482 11.162 10.355 10.231 9.633 9.462 9.254 9.039 8.847
0.00015547 -2.00000 10.07918 0.1433091164 1.4560320377    0.143 -2.298  3.5964  5.229    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.07e-16      0.00 7.396e-01 2.602e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.514 18.390 17.796 16.398 13.615 13.279 12.736 12.121 11.486 10.964 10.661 9.907 9.792 9.223 9.058 8.856 8.639 8.438
0.00015547 -2.00000 10.07918 0.1631793380 1.5515257120    0.163 -2.160  3.6051  5.182    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.53e-16      0.00 7.384e-01 2.614e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 10.170 17.826 17.173 15.715 13.057 12.757 12.264 11.676 11.075 10.575 10.283 9.558 9.447 8.898 8.736 8.538 8.321 8.117
0.00015547 -2.00000 10.07918 0.2029198259 1.7036917210    0.203 -1.946  3.6168  5.109    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.82e-16      0.00 7.378e-01 2.621e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.634 16.992 16.267 14.750 12.248 12.005 11.569 11.014 10.454 9.982 9.705 9.015 8.911 8.387 8.230 8.037 7.821 7.615
0.00015547 -2.00000 10.07918 0.2525953948 1.8468695879    0.252 -1.749  3.6275  5.051    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-15      0.00 7.380e-01 2.618e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.143 16.165 15.394 13.874 11.523 11.334 10.945 10.415 9.888 9.441 9.177 8.518 8.419 7.918 7.765 7.577 7.363 7.157
0.00015547 -2.00000 10.07918 0.3022710085 1.9574397802    0.302 -1.598  3.6363  5.013    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-15      0.00 7.381e-01 2.618e-01 2.942e-05 7.941e-06 7.201e-05 -1.000 1.636e-04 8.765 15.502 14.704 13.190 10.957 10.818 10.464 9.953 9.451 9.024 8.770 8.135 8.040 7.557 7.408 7.225 7.013 6.809
0.00015547 -2.00000 10.07918 0.3519465327 2.0465962887    0.352 -1.473  3.6445  4.987    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.29e-15      0.00 7.382e-01 2.616e-01 2.940e-05 7.942e-06 7.201e-05 -1.000 1.636e-04 8.451 14.961 14.140 12.616 10.478 10.385 10.061 9.567 9.086 8.676 8.431 7.816 7.725 7.260 7.115 6.935 6.726 6.524
0.00015547 -2.00000 10.07918 0.4016221166 2.1207315922    0.401 -1.347  3.6534  4.955    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.97e-15      0.00 7.502e-01 2.496e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 8.139 14.414 13.570 12.028 9.988 9.947 9.656 9.180 8.721 8.327 8.092 7.500 7.413 6.966 6.824 6.648 6.443 6.245
0.00015547 -2.00000 10.07918 0.4512977004 2.1838121414    0.451 -1.194  3.6681  4.911    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.19e-15      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 7.756 13.540 12.692 11.179 9.322 9.365 9.130 8.684 8.258 7.892 7.672 7.114 7.033 6.616 6.480 6.311 6.113 5.922
0.00015547 -2.00000 10.07918 0.5009732842 2.2384552956    0.501 -1.023  3.6852  4.854    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.3e-15      0.00 7.514e-01 2.484e-01 2.938e-05 7.927e-06 7.190e-05 -1.000 1.636e-04 7.328 12.492 11.671 10.230 8.585 8.720 8.551 8.140 7.750 7.412 7.209 6.688 6.614 6.231 6.103 5.942 5.753 5.571
0.00015547 -2.00000 10.07918 0.5506489277 2.2841949463    0.550 -0.819  3.7053  4.771    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-14      0.00 7.848e-01 2.151e-01 2.566e-05 6.927e-06 6.286e-05 -1.000 9.984e-05 6.818 11.176 10.442 9.151 7.748 7.978 7.883 7.514 7.164 6.855 6.669 6.189 6.122 5.777 5.658 5.506 5.329 5.160
0.00015547 -2.00000 10.07918 0.6003244519 2.3213412762    0.600 -0.611  3.7305  4.701    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-14      0.00 7.975e-01 2.024e-01 2.432e-05 6.570e-06 5.965e-05 -1.000 1.154e-04 6.297 9.646 9.063 8.017 6.889 7.211 7.194 6.877 6.572 6.297 6.130 5.697 5.639 5.339 5.230 5.090 4.928 4.773
0.00015547 -2.00000 10.07918 0.6074755192 2.3261165619    0.607 -0.579  3.7348  4.691    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-14      0.00 7.997e-01 2.002e-01 2.409e-05 6.508e-06 5.909e-05 -1.000 1.078e-04 6.218 9.414 8.855 7.849 6.763 7.097 7.090 6.782 6.484 6.214 6.050 5.624 5.568 5.275 5.167 5.029 4.869 4.718
0.00015547 -2.00000 10.07918 0.6185930967 2.3332889080    0.618 -0.530  3.7414  4.676    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-14      0.00 8.033e-01 1.965e-01 2.371e-05 6.406e-06 5.817e-05 -1.000 1.528e-04 6.094 9.050 8.530 7.588 6.567 6.920 6.929 6.634 6.347 6.084 5.925 5.511 5.456 5.174 5.069 4.934 4.778 4.630
0.00015547 -2.00000 10.07918 0.6284974217 2.3394336700    0.628 -0.485  3.7472  4.662    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-14      0.00 8.067e-01 1.931e-01 2.335e-05 6.311e-06 5.732e-05 -1.000 1.417e-04 5.983 8.716 8.235 7.357 6.399 6.766 6.787 6.503 6.225 5.970 5.815 5.411 5.359 5.086 4.983 4.850 4.696 4.551
